Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Activity,Observation Status,Reporting Type,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),180,Democratic Republic of the Congo,ISIC4_C,A,G,KG_PER_CON_USD,0.008,0.012,0.014,0.021,0.023,0.027,0.03,0.028,0.027,0.029,0.031,0.031,0.027,0.025,0.022,0.008,0.01,0.007,0.006,0.002,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),208,Denmark,ISIC4_C,A,G,KG_PER_CON_USD,0.132,0.133,0.126,0.132,0.133,0.129,0.129,0.123,0.111,0.103,0.104,0.098,0.088,0.079,0.079,0.077,0.075,0.073,0.07,0.064,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),514,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",ISIC4_C,A,G,KG_PER_CON_USD,0.348,0.344,0.324,0.316,0.303,0.28,0.263,0.256,0.251,0.249,0.254,0.243,0.247,0.242,0.237,0.226,0.224,0.214,0.209,0.205,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),515,Developing regions,ISIC4_C,A,G,KG_PER_CON_USD,0.881,0.88,0.86,0.871,0.939,1.037,1.016,0.991,0.979,0.988,0.988,0.965,0.909,0.865,0.821,0.773,0.711,0.669,0.65,0.645,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),214,Dominican Republic,ISIC4_C,A,G,KG_PER_CON_USD,0.173,0.176,0.285,0.281,0.212,0.225,0.296,0.272,0.269,0.289,0.309,0.25,0.267,0.323,0.277,0.273,0.289,0.282,0.26,0.308,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),14,Eastern Africa,ISIC4_C,A,G,KG_PER_CON_USD,0.617,0.61,0.606,0.544,0.492,0.505,0.549,0.53,0.445,0.381,0.44,0.519,0.475,0.484,0.554,0.541,0.541,0.534,0.506,0.714,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),753,Eastern and South-Eastern Asia,ISIC4_C,A,G,KG_PER_CON_USD,0.707,0.726,0.705,0.722,0.811,0.921,0.909,0.876,0.868,0.904,0.879,0.867,0.816,0.771,0.724,0.676,0.611,0.56,0.548,0.54,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),30,Eastern Asia,ISIC4_C,A,G,KG_PER_CON_USD,0.733,0.751,0.731,0.744,0.847,0.973,0.951,0.911,0.906,0.945,0.91,0.898,0.847,0.806,0.751,0.692,0.634,0.575,0.558,0.54,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),518,Eastern Asia (excluding Japan),ISIC4_C,A,G,KG_PER_CON_USD,1.084,1.069,0.999,1.018,1.177,1.369,1.312,1.23,1.206,1.172,1.142,1.095,1.021,0.956,0.881,0.808,0.731,0.659,0.639,0.614,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),151,Eastern Europe,ISIC4_C,A,G,KG_PER_CON_USD,1.611,1.507,1.441,1.33,1.211,1.037,0.942,0.933,0.867,0.859,0.842,0.826,0.902,0.882,0.898,0.842,0.832,0.795,0.742,0.771,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),218,Ecuador,ISIC4_C,A,G,KG_PER_CON_USD,0.289,0.278,0.296,0.284,0.268,0.269,0.244,0.177,0.186,0.217,0.222,0.213,0.217,0.242,0.258,0.223,0.155,0.143,0.16,0.141,,,,,,,,,,,,,,,,,,,,,
