metric_key,economic_category,cou_metric_key,year,GDP,GDP_15,GDP_PC,GDP_PC_PPP,GDP_PC_PPP_17,GDP_PEMP,GDP_PPP,MFG_VA,ELC_POP,ELC_RUR_POP,CO2GDP,AtmCO2
developing-2002,Developing,brazil-2002,2002,509795270685.19,1239639324926.44,6904.6253073595,9568.06602729728,11800.8408908174,28430.4004559193,1717826874441.4,12.3569626673735,96.6529922485352,84.1179504394531,0.142,0.466
developing-2003,Developing,brazil-2003,2003,558233724164.711,1253781489825.37,6896.13719435172,9733.77330392262,11786.3336776655,28402.0467397391,1769689965653.55,14.4507645630532,96.980094909668,85.321533203125,0.138,0.451
developing-2004,Developing,brazil-2004,2004,669289321944.516,1325998860262.8,7206.26179832942,10445.3471782104,12316.374186014,28861.4818214536,1922011556195.08,15.0995301563871,96.7651062011719,83.4505462646484,0.138,0.426
developing-2005,Developing,brazil-2005,2005,891633826603.377,1368459094911.19,7352.28258589388,10988.9611484477,12565.9413969911,29102.8866327618,2045343558484.92,14.7382811342998,97.0935134887695,84.8305358886719,0.134,0.405
developing-2013,Developing,brazil-2013,2013,2472819362216.69,1859094274468.6,9247.5733810643,15588.7261289147,15805.2229104713,35546.2573417586,3133893649534.78,10.4796122903756,99.5751495361328,97.5020370483398,0.144,0.434
developing-2014,Developing,brazil-2014,2014,2456043766028.73,1868463286781.87,9214.97724357405,15718.5649500141,15749.5121636814,35204.1752116232,3187155079572.03,10.3370973946319,99.6502456665039,97.9100799560547,0.151,0.449
developing-2015,Developing,brazil-2015,2015,1802211999538.68,1802211999538.68,8813.98980647828,14744.1136344695,15064.1760688552,34070.5147232268,3014754849735.87,10.5209374515806,99.7108993530273,98.2324066162109,0.149,0.472
developing-2016,Developing,brazil-2016,2016,1795693265810.23,1743173031958.05,8455.31234246959,14256.163385421,14451.1528423266,33786.9328831462,2939094210373.7,10.7864511156539,99.6999969482422,98.4671325683594,0.142,0.45
developing-2017,Developing,brazil-2017,2017,2063514688761.98,1766232928553.89,8498.29390646058,14524.6135408174,14524.6135408174,34114.0889046955,3018705988834.88,10.7214980110027,99.8000030517578,99.1695938110352,0.144,0.473
developing-2018,Developing,brazil-2018,2018,1916933708381.89,1797736638228.88,8582.33863665038,15020.4382238881,14668.2561636292,34166.3088762026,3146320980859.84,10.5284573797129,99.6999969482422,98.4109039306641,0.134,0.447
developing-2019,Developing,brazil-2019,2019,1877824273720.78,1823105452462.95,8638.28290678523,15388.234915991,14763.8716968734,33896.0496066885,3247679577278.91,10.1410039383075,99.8000030517578,98.4820861816406,0.132,0.435
developed-2000,Developed,canada-2000,2000,744773415931.587,1047046486898.19,34121.6091941822,29362.0841609786,37194.3956032859,75098.3033913164,900996986801.064,17.0244371251909,100.0,100.0,0.441,0.378
developed-2001,Developed,canada-2001,2001,738981792355.372,1061763014138.36,34227.341749713,30230.8029655917,37309.6497953194,75172.8142237109,937786776176.929,16.0387406239215,100.0,100.0,0.429,0.36
developed-2002,Developed,canada-2002,2002,760649334098.005,1098098096475.24,35015.7949689871,30963.0530022941,38169.1063580352,75900.4093182799,971003788233.131,15.7090594100464,100.0,100.0,0.43,0.353
developed-2003,Developed,canada-2003,2003,895540646634.787,1139947604898.36,36024.0992359873,32349.9436608677,39268.2124283808,76940.5826877759,1023682523002.92,14.6632534815922,100.0,100.0,0.43,0.35
developed-2004,Developed,canada-2004,2004,1026690238278.25,1184565482255.99,37086.4492996776,33925.7067319515,40426.2313340311,78688.62647784,1083609294356.44,14.2955430912374,100.0,100.0,0.408,0.361
developed-2005,Developed,canada-2005,2005,1173108598778.68,1243744725655.28,38573.1997654019,36327.2286544972,42046.8695832654,81587.8784935091,1171326187910.13,13.3747616196987,100.0,100.0,0.398,0.341
